date_id,date
1,2004-07-23
2,2004-06-25
3,2004-04-15
4,2003-12-26
5,2003-10-17
6,2003-09-12
7,2003-09-08
8,2003-09-05
9,2003-08-22
10,2003-08-08
11,2003-08-05
12,2003-08-04
13,2003-07-28
14,2003-07-14
15,2003-07-08
16,2003-07-07
17,2003-06-18
18,2003-06-17
19,2003-06-09
20,2003-05-08
21,2003-05-05
22,2003-04-03
23,2003-03-25
24,2003-03-24
25,2003-03-10
26,2003-02-04
27,2003-01-06
28,2003-01-02
29,2002-12-06
30,2002-12-05
31,2013-04-04
32,2013-04-03
33,2013-04-02
34,2013-04-01
35,2013-03-29
36,2013-03-28
37,2013-03-27
38,2013-03-26
39,2013-03-25
40,2013-03-22
41,2013-03-21
42,2013-03-20
43,2013-03-19
44,2013-03-18
45,2013-03-15
46,2013-03-14
47,2013-03-13
48,2013-03-12
49,2013-03-11
50,2013-03-08
51,2013-03-07
52,2013-03-06
53,2013-03-05
54,2013-03-04
55,2013-03-01
56,2013-02-28
57,2013-02-27
58,2013-02-26
59,2013-02-25
60,2013-02-22
61,2013-02-21
62,2013-02-20
63,2013-02-19
64,2013-02-18
65,2013-02-15
66,2013-02-14
67,2013-02-13
68,2013-02-12
69,2013-02-11
70,2013-02-08
71,2013-02-07
72,2013-02-06
73,2013-02-05
74,2013-02-04
75,2013-02-01
76,2013-01-31
77,2013-01-30
78,2013-01-29
79,2013-01-28
80,2013-01-25
81,2013-01-24
82,2013-01-23
83,2013-01-22
84,2013-01-21
85,2013-01-18
86,2013-01-17
87,2013-01-16
88,2013-01-15
89,2013-01-14
90,2013-01-11
91,2013-01-10
92,2013-01-09
93,2013-01-08
94,2013-01-07
95,2013-01-04
96,2013-01-03
97,2013-01-02
98,2013-01-01
99,2012-12-31
100,2012-12-28
101,2012-12-27
102,2012-12-26
103,2012-12-25
104,2012-12-24
105,2012-12-22
106,2012-12-21
107,2012-12-20
108,2012-12-19
109,2012-12-18
110,2012-12-17
111,2012-12-14
112,2012-12-13
113,2012-12-12
114,2012-12-11
115,2012-12-10
116,2012-12-07
117,2012-12-06
118,2012-12-05
119,2012-12-04
120,2012-12-03
121,2012-11-30
122,2012-11-29
123,2012-11-28
124,2012-11-27
125,2012-11-26
126,2012-11-23
127,2012-11-22
128,2012-11-21
129,2012-11-20
130,2012-11-19
131,2012-11-16
132,2012-11-15
133,2012-11-14
134,2012-11-13
135,2012-11-12
136,2012-11-09
137,2012-11-08
138,2012-11-07
139,2012-11-06
140,2012-11-05
141,2012-11-02
142,2012-11-01
143,2012-10-31
144,2012-10-30
145,2012-10-29
146,2012-10-26
147,2012-10-25
148,2012-10-24
149,2012-10-23
150,2012-10-22
151,2012-10-19
152,2012-10-18
153,2012-10-17
154,2012-10-16
155,2012-10-15
156,2012-10-12
157,2012-10-11
158,2012-10-10
159,2012-10-09
160,2012-10-08
161,2012-10-05
162,2012-10-04
163,2012-10-03
164,2012-10-02
165,2012-10-01
166,2012-09-28
167,2012-09-27
